source	run	sample	experiment	library_name	library_strategy	library_selection	library_source	library_layout	insert_size
PRJNA837738_runinfo.csv	SRR19184238	F_Gi_01	SRX15249367	EDSW220007779-1a_HHL5LDSX3_L1	WGS	RANDOM	GENOMIC	PAIRED	0
PRJNA837738_runinfo.csv	SRR19184237	F_Is_01	SRX15249368	EDSW220007781-1a_HHL5LDSX3_L2	WGS	RANDOM	GENOMIC	PAIRED	0
PRJNA837738_runinfo.csv	SRR19184236	F_Is_02	SRX15249369	EDSW220007784-1a_HHL5LDSX3_L2	WGS	RANDOM	GENOMIC	PAIRED	0
PRJNA837738_runinfo.csv	SRR19184235	F_Oi_01	SRX15249370	EDSW220007782-1a_HHL5LDSX3_L2	WGS	RANDOM	GENOMIC	PAIRED	0
PRJNA837738_runinfo.csv	SRR19184234	F_Pa_01	SRX15249371	EDSW220007785-1a_HHL5LDSX3_L1	WGS	RANDOM	GENOMIC	PAIRED	0
PRJNA837738_runinfo.csv	SRR19184243	IRQ_USNM_641315	SRX15249362	CDSW220000836-1a_HN2N7DSX3_L2	WGS	RANDOM	GENOMIC	PAIRED	0
PRJNA837738_runinfo.csv	SRR19184242	IRQ_USNM_645931	SRX15249363	CDSW220000837-1a_HN22YDSX3_L3	WGS	RANDOM	GENOMIC	PAIRED	0
PRJNA837738_runinfo.csv	SRR19184241	F_Co_01	SRX15249364	EDSW220007786-1a_HHL5LDSX3_L2	WGS	RANDOM	GENOMIC	PAIRED	0
PRJNA837738_runinfo.csv	SRR19184240	F_Co_02	SRX15249365	EDSW220007787-1a_HHL5LDSX3_L3	WGS	RANDOM	GENOMIC	PAIRED	0
PRJNA837738_runinfo.csv	SRR19184239	F_Co_03	SRX15249366	EDSW220007788-1a_HHL5LDSX3_L2	WGS	RANDOM	GENOMIC	PAIRED	0
PRJNA837738_runinfo.csv	SRR19184248	F_Va_01	SRX15249357	EDSW220007778-1a_HHL5LDSX3_L1	WGS	RANDOM	GENOMIC	PAIRED	0
PRJNA837738_runinfo.csv	SRR19184246	IRQ_USNM_641313	SRX15249359	CDSW220000834-1a_HN2N7DSX3_L1	WGS	RANDOM	GENOMIC	PAIRED	0
PRJNA837738_runinfo.csv	SRR19184245	IRQ_USNM_641314	SRX15249360	CDSW220000835-1a_HN27LDSX3_L2	WGS	RANDOM	GENOMIC	PAIRED	0
PRJNA837738_runinfo.csv	SRR19184244	IRQ_USNM_641315	SRX15249361	CDSW220000836-1a_HN2MWDSX3_L4	WGS	RANDOM	GENOMIC	PAIRED	0
PRJNA837738_runinfo.csv	SRR19184247	IRQ_USNM_641341	SRX15249358	CDSW220000833-1a_HN2N7DSX3_L1	WGS	RANDOM	GENOMIC	PAIRED	0
PRJNA837738_runinfo.csv	SRR19184251	F_Cd_01	SRX15249354	EDSW220007780-1a_HHL5LDSX3_L1	WGS	RANDOM	GENOMIC	PAIRED	0
PRJNA837738_runinfo.csv	SRR19184250	F_Ch_01	SRX15249355	EDSW220007777-1a_HHL5LDSX3_L1	WGS	RANDOM	GENOMIC	PAIRED	0
PRJNA837738_runinfo.csv	SRR19184249	F_Pd_01	SRX15249356	EDSW220007783-1a_HHL5LDSX3_L1	WGS	RANDOM	GENOMIC	PAIRED	0
PRJNA192205_runinfo.csv	SRR11824271	D_Ko_C13	SRX8374820	pb_410_007_run1_D02_1	WGS	RANDOM	GENOMIC	SINGLE	0
